Node1,AL,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MA,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UA,UK
AL,,,,,,,,,,,,,400.0,,,,,,,,,350.0,500.0,,,,,,,500.0,,,,,,
AT,,305873.2333898,,,1200.0,900.0,6900.0,,,,,,,,800.0,,1450.0,,,,,,,,,,,,,,,1242.96875,539.21874993,,,
BA,,,,,,,,,,,,,,750.0,,,,,,,,800.0,,,,,,,,1710.0,,,,,,
BE,,,304732.74363998,,,,4015.625,,,,,3565.625,,,,,,,680.0,,,,,,3246.8750001,,,,,,,,,,,2171.625
BG,,,,303059.00891668,,,,,,,,,1929.8375,,,,,,,,,,500.0,,,,,,1500.0,810.0,,,,2000.0,,
CH,,,,,,,4562.1452844,,,,,2341.666667,,,,,5139.9375,,,,,,,,,,,,,,,,,,,
CY,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,
CZ,,,,,,305666.67628042,5981.313438,,,,,,,,,,,,,,,,,,,,600.0,,,,,,4916.749999199999,,,
DE,,,,,600.0,,243619.59437688,6388.5416669999995,,,,4785.41666659,,,,,,,2300.0,,,,,,7411.16666682,1400.0,2000.0,,,,2015.0,,,,,
DK,,,,,,,,705678.74661118,,,,,,,,,,,,,,,,,700.0,1640.0,2229.87499983,,,,5442.2708333,,,,,2800.0
EE,,,,,,,,,301757.55841398,,2149.3333333,,,,,,,,,2436.09375017,,,,,,,,,,,,,,,,
ES,,,,,,,,,,325699.61081114,,11257.8125,,,,,,,,,,,,,,,,4785.0,,,,,,,,
FI,,,,,,,,,,,313619.32543736,,,,,,,,,,,,,,,,,,,,4325.0,,,,,
FR,,,1000.0,,1500.0,,1500.0,,,,,335203.33121008,,,,,4170.0,,380.0,,,,,,,,,,,,,,,,,7400.0
GR,,,,,,,,,,,,,307879.31254872,,,,598.75,,,,2000.0,,1100.0,,,,,,,,,,,1260.0,,
HR,,,,,,,,,,,,,,302478.60411168,1818.9125,,,,,,,,,,,,,,,1080.0,,2080.20833333,,,,
HU,,,,,,,,,,,,,,,306413.0233287,,,,,,,,,,,,,,1733.0,1180.0,,1200.0,2217.375,,450.0,
IE,,,,,,,,,,,,700.0,,,,302843.64691956,,,,,,,,,,,,,,,,,,,,103771.39583351
IT,,,,,200.0,,,,,,,,,,,,1630612.40279818,,,,,1200.0,,200.0,,,,,,,,1099.7916667,,,,
LT,,,,,,,,,,,,,,,,,,302088.76656502,,2309.0625,,,,,,,3483.4166667,,,,700.0,,,,,
LV,,,,,,,,,,,,,,,,,,,,300789.23243026,,,,,,,,,,,,,,,,
MA,,,,,,,,,,100600.0,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,,,,,,
MK,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,,,,
NL,,,,,,,,,,,,,,,,,,,,,,,,,308166.27055824,700.0,,,,,,,,,,3000.0
NO,,,100000.0,,,,100000.0,,,,,100000.0,,,,,,,,,,,,,100000.0,2700.0,,,,,3695.0,,,,,101400.0
PL,,,,,,800.0,3000.0,,,,,,,,,,,,,,,,,,,,322146.4455053,,,,600.0,,5052.17708322,,,
PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,307667.68653996,,,,,,,,
RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310668.76639781997,2000.0,,,,,150.0,
RU,,,,,,,,,,,353.47796143,,,,,,,,,300.0,,,,,,50.0,,,,,,,,,,
SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529558.32949426,,,,,
SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301138.0794317,,,,
SK,,,,,,,,,,,,,,,,,,,,,,,,,,,990.0,,,,,,301405.31045374,,650.0,
TN,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,,,
UK,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,1400.0,,,,,,,,,,624458.69674044
