Node1,AL,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MA,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UA,UK
AL,,,,,,,,,,,,,-400.0,,,,,,,,,-350.0,-500.0,,,,,,,-500.0,,,,,,
AT,,-101436.6166949,,,-1200.0,-900.0,-6900.0,,,,,,,,-800.0,,-1300.0,,,,,,,,,,,,,,,-1242.96875,-539.21874993,,,
BA,,,,,,,,,,,,,,-700.0,,,,,,,,-750.0,,,,,,,,-1000.0,,,,,,
BE,,,-101866.37181999,,,,-4015.625,,,,,-5065.625,,,,,,,-180.0,,,,,,-4246.8750001,,,,,,,,,,,-2171.625
BG,,,,-101029.50445834,,,,,,,,,-1629.8375,,,,,,,,,,-400.0,,,,,,-1400.0,-540.0,,,,-1200.0,,
CH,,,,,,,-3362.1452844,,,,,-4741.6666669999995,,,,,-3089.9375,,,,,,,,,,,,,,,,,,,
CY,,,,,,,,,,,,,-1000.0,,,,,,,,,,,,,,,,,,,,,,,
CZ,,,,,,-101333.33814020999,-5381.313438,,,,,,,,,,,,,,,,,,,,,,,,,,-4216.749999199999,,,
DE,,,,,-100.0,,-113009.79718844,-6373.5416669999995,,,,-4785.41666659,,,,,,,-2300.0,,,,,,-7411.16666682,-1400.0,,,,,-2015.0,,,,,
DK,,,,,,,,-302529.37330559,,,,,,,,,,,,,,,,,-700.0,-1640.0,-2229.87499983,,,,-5042.2708333,,,,,-2800.0
EE,,,,,,,,,-100378.77920699,,-2133.3333333,,,,,,,,,-2236.09375017,,,,,,,,,,,,,,,,
ES,,,,,,,,,,-105849.80540556999,,-11257.8125,,,,,,,,,,,,,,,,-4085.0,,,,,,,,
FI,,,,,,,,,,,-101309.66271868,,,,,,,,,,,,,,,,,,,,-4325.0,,,,,
FR,,,-1000.0,,-600.0,,-1500.0,,,,,-111101.66560504,,,,,-2130.0,,,,,,,,,,,,,,,,,,,-7400.0
GR,,,,,,,,,,,,,-104339.65627436,,,,-598.75,,,,-2000.0,,-850.0,,,,,,,,,,,-1180.0,,
HR,,,,,,,,,,,,,,-100239.30205584,-1818.9125,,,,,,,,,,,,,,,-1100.0,,-2080.20833333,,,,
HU,,,,,,,,,,,,,,,-101206.51166435,,,,,,,,,,,,,,-1833.0,-1250.0,,-1200.0,-3017.375,,-650.0,
IE,,,,,,,,,,,,-700.0,,,,-100921.82345978,,,,,,,,,,,,,,,,,,,,-103721.39583351
IT,,,,,-200.0,,,,,,,,,,,,-610306.20139909,,,,,-1200.0,,-200.0,,,,,,,,-1189.7916667,,,,
LT,,,,,,,,,,,,,,,,,,-100544.38328251,,-2309.0625,,,,,,,-3483.4166667,,,,-700.0,,,,,
LV,,,,,,,,,,,,,,,,,,,,-100394.61621513001,,,,,,,,,,,,,,,,
MA,,,,,,,,,,-600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-550.0,,,,,,
MK,-500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-540.0,,,,,,
NL,,,,,,,,,,,,,,,,,,,,,,,,,-103083.13527912,-700.0,,,,,,,,,,-3000.0
NO,,,,,,,,,,,,,,,,,,,,,,,,,,-2700.0,,,,,-3995.0,,,,,-1400.0
PL,,,,,,,,,,,,,,,,,,,,,,,,,,,-102573.22275265,,,,-600.0,,-4062.17708322,,,
PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,-101833.84326998,,,,,,,,
RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-101834.38319891,-2000.0,,,,,-150.0,
RU,,,,,,,,,,,353.47796143,,,,,,,,,,,,,,,,,,,,,,,,,
SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-717579.16474713,,,,,
SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100569.03971585,,,,
SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100702.65522687,,-650.0,
TN,,,,,,,,,,,,,,,,,-600.0,,,,,,,,,,,,,,,,,,,
UK,,,,,,,,,,,,-1000.0,,,,,,,,,,,,,,-1400.0,,,,,,,,,,-211354.34837022
