Belgium,Actual Load (MW)
2017-12-01 00:00:00+01:00,10616
2017-12-01 00:15:00+01:00,10409
2017-12-01 00:30:00+01:00,10546
2017-12-01 00:45:00+01:00,10613
2017-12-01 01:00:00+01:00,10210
2017-12-01 01:15:00+01:00,10103
2017-12-01 01:30:00+01:00,9981
2017-12-01 01:45:00+01:00,9940
2017-12-01 02:00:00+01:00,9924
2017-12-01 02:15:00+01:00,9873
2017-12-01 02:30:00+01:00,9818
2017-12-01 02:45:00+01:00,9614
2017-12-01 03:00:00+01:00,9719
2017-12-01 03:15:00+01:00,9705
2017-12-01 03:30:00+01:00,9735
2017-12-01 03:45:00+01:00,9567
2017-12-01 04:00:00+01:00,9556
2017-12-01 04:15:00+01:00,9654
2017-12-01 04:30:00+01:00,9688
2017-12-01 04:45:00+01:00,9745
2017-12-01 05:00:00+01:00,9757
2017-12-01 05:15:00+01:00,9916
2017-12-01 05:30:00+01:00,9987
2017-12-01 05:45:00+01:00,10103
2017-12-01 06:00:00+01:00,10435
2017-12-01 06:15:00+01:00,10833
2017-12-01 06:30:00+01:00,11225
2017-12-01 06:45:00+01:00,11487
2017-12-01 07:00:00+01:00,11682
2017-12-01 07:15:00+01:00,11921
2017-12-01 07:30:00+01:00,12094
2017-12-01 07:45:00+01:00,12194
2017-12-01 08:00:00+01:00,12253
2017-12-01 08:15:00+01:00,12166
2017-12-01 08:30:00+01:00,12291
2017-12-01 08:45:00+01:00,12378
2017-12-01 09:00:00+01:00,12544
2017-12-01 09:15:00+01:00,12449
2017-12-01 09:30:00+01:00,12412
2017-12-01 09:45:00+01:00,12472
2017-12-01 10:00:00+01:00,12477
2017-12-01 10:15:00+01:00,12465
2017-12-01 10:30:00+01:00,12481
2017-12-01 10:45:00+01:00,12490
2017-12-01 11:00:00+01:00,12425
2017-12-01 11:15:00+01:00,12480
2017-12-01 11:30:00+01:00,12483
2017-12-01 11:45:00+01:00,12419
2017-12-01 12:00:00+01:00,12248
2017-12-01 12:15:00+01:00,12098
2017-12-01 12:30:00+01:00,12053
2017-12-01 12:45:00+01:00,11987
2017-12-01 13:00:00+01:00,12006
2017-12-01 13:15:00+01:00,11990
2017-12-01 13:30:00+01:00,11994
2017-12-01 13:45:00+01:00,11964
2017-12-01 14:00:00+01:00,11943
2017-12-01 14:15:00+01:00,11943
2017-12-01 14:30:00+01:00,11810
2017-12-01 14:45:00+01:00,11747
2017-12-01 15:00:00+01:00,11893
2017-12-01 15:15:00+01:00,11795
2017-12-01 15:30:00+01:00,11798
2017-12-01 15:45:00+01:00,11764
2017-12-01 16:00:00+01:00,11622
2017-12-01 16:15:00+01:00,12298
2017-12-01 16:30:00+01:00,12160
2017-12-01 16:45:00+01:00,12156
2017-12-01 17:00:00+01:00,12203
2017-12-01 17:15:00+01:00,12564
2017-12-01 17:30:00+01:00,12702
2017-12-01 17:45:00+01:00,12392
2017-12-01 18:00:00+01:00,12576
2017-12-01 18:15:00+01:00,12472
2017-12-01 18:30:00+01:00,12292
2017-12-01 18:45:00+01:00,12145
2017-12-01 19:00:00+01:00,12095
2017-12-01 19:15:00+01:00,12007
2017-12-01 19:30:00+01:00,11801
2017-12-01 19:45:00+01:00,11660
2017-12-01 20:00:00+01:00,11447
2017-12-01 20:15:00+01:00,11209
2017-12-01 20:30:00+01:00,11110
2017-12-01 20:45:00+01:00,11180
2017-12-01 21:00:00+01:00,11088
2017-12-01 21:15:00+01:00,10919
2017-12-01 21:30:00+01:00,10853
2017-12-01 21:45:00+01:00,10743
2017-12-01 22:00:00+01:00,10856
2017-12-01 22:15:00+01:00,10997
2017-12-01 22:30:00+01:00,11038
2017-12-01 22:45:00+01:00,11002
2017-12-01 23:00:00+01:00,11082
2017-12-01 23:15:00+01:00,11006
2017-12-01 23:30:00+01:00,10904
2017-12-01 23:45:00+01:00,10756
2017-12-02 00:00:00+01:00,10640
2017-12-02 00:15:00+01:00,10487
2017-12-02 00:30:00+01:00,10362
2017-12-02 00:45:00+01:00,10191
2017-12-02 01:00:00+01:00,10090
2017-12-02 01:15:00+01:00,9927
2017-12-02 01:30:00+01:00,9792
2017-12-02 01:45:00+01:00,9684
2017-12-02 02:00:00+01:00,9537
2017-12-02 02:15:00+01:00,9481
2017-12-02 02:30:00+01:00,9412
2017-12-02 02:45:00+01:00,9347
2017-12-02 03:00:00+01:00,9251
2017-12-02 03:15:00+01:00,9233
2017-12-02 03:30:00+01:00,9170
2017-12-02 03:45:00+01:00,9103
2017-12-02 04:00:00+01:00,9159
2017-12-02 04:15:00+01:00,9141
2017-12-02 04:30:00+01:00,9117
2017-12-02 04:45:00+01:00,9123
2017-12-02 05:00:00+01:00,9085
2017-12-02 05:15:00+01:00,9114
2017-12-02 05:30:00+01:00,9126
2017-12-02 05:45:00+01:00,9178
2017-12-02 06:00:00+01:00,9319
2017-12-02 06:15:00+01:00,9440
2017-12-02 06:30:00+01:00,9506
2017-12-02 06:45:00+01:00,9588
2017-12-02 07:00:00+01:00,9632
2017-12-02 07:15:00+01:00,9772
2017-12-02 07:30:00+01:00,9910
2017-12-02 07:45:00+01:00,10040
2017-12-02 08:00:00+01:00,10318
2017-12-02 08:15:00+01:00,10398
2017-12-02 08:30:00+01:00,10546
2017-12-02 08:45:00+01:00,10612
2017-12-02 09:00:00+01:00,10836
2017-12-02 09:15:00+01:00,11037
2017-12-02 09:30:00+01:00,11136
2017-12-02 09:45:00+01:00,11159
2017-12-02 10:00:00+01:00,11241
2017-12-02 10:15:00+01:00,11273
2017-12-02 10:30:00+01:00,11323
2017-12-02 10:45:00+01:00,11296
2017-12-02 11:00:00+01:00,11308
2017-12-02 11:15:00+01:00,11463
2017-12-02 11:30:00+01:00,11527
2017-12-02 11:45:00+01:00,11541
2017-12-02 12:00:00+01:00,11531
2017-12-02 12:15:00+01:00,11442
2017-12-02 12:30:00+01:00,11385
2017-12-02 12:45:00+01:00,11343
2017-12-02 13:00:00+01:00,11235
2017-12-02 13:15:00+01:00,11205
2017-12-02 13:30:00+01:00,11267
2017-12-02 13:45:00+01:00,11205
2017-12-02 14:00:00+01:00,11175
2017-12-02 14:15:00+01:00,11047
