Node1,Albania,Austria,Bosnia and Herzegovina,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Montenegro,The former Yugoslav Republic of Macedonia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Sweden,Slovenia,Slovakia,Ukraine,United Kingdom
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,350,500,0,0,0,0,0,0,500,0,0,0,0,0
Austria,0,0,0,0,0,1200,0,900,6900,0,0,0,0,0,0,0,800,0,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,124.296.875,5.392.187.499,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,800,0,0,0,0,0,0,0,1710,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,4.015.625,0,0,0,0,3.565.625,0,0,0,0,0,0,680,0,0,0,0,3.246.875,0,0,0,0,0,0,0,0,0,2.171.625
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.298.375,0,0,0,0,0,0,0,0,500,0,0,0,0,0,1500,810,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,4.562.145.284,0,0,0,0,2.341.666.667,0,0,0,0,51.399.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,5.981.313.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,4.916.749.999,0,0
Germany,0,0,0,0,0,600,0,0,0,6.388.541.667,0,0,0,4.785.416.667,0,0,0,0,0,0,2300,0,0,0,0,7.411.166.667,1400,2000,0,0,0,2015,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,1640,2.229.875,0,0,0,5.442.270.833,0,0,0,2800
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,2.149.333.333,0,0,0,0,0,0,0,0,243.609.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,112.578.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4785,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4325,0,0,0,0
France,0,0,0,1000,0,1500,0,0,1500,0,0,0,0,0,0,0,0,0,4170,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7400
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598.75,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.189.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,0,2.080.208.333,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733,1180,0,1200,2.217.375,450,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.037.713.958
Italy,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,200,0,0,0,0,0,0,0,1.099.791.667,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.090.625,0,0,0,0,0,3.483.416.667,0,0,0,700,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0
The former Yugoslav Republic of Macedonia,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,3000
