Node1,Albania,Austria,Bosnia and Herzegovina,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Montenegro,The former Yugoslav Republic of Macedonia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Sweden,Slovenia,Slovakia,Ukraine,United Kingdom
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-400,0,0,0,0,0,0,0,-350,-500,0,0,0,0,0,0,-500,0,0,0,0,0
Austria,0,0,0,0,0,-1200,0,-900,-6900,0,0,0,0,0,0,0,-800,0,-1300,0,0,0,0,0,0,0,0,0,0,0,0,0,-124.296.875,-5.392.187.499,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-700,0,0,0,0,0,0,-750,0,0,0,0,0,0,0,-1000,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,-4.015.625,0,0,0,0,-5.065.625,0,0,0,0,0,0,-180,0,0,0,0,-4.246.875,0,0,0,0,0,0,0,0,0,-2.171.625
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.298.375,0,0,0,0,0,0,0,0,-400,0,0,0,0,0,-1400,-540,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,-3.362.145.284,0,0,0,0,-4.741.666.667,0,0,0,0,-30.899.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,-5.381.313.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.216.749.999,0,0
Germany,0,0,0,0,0,-100,0,0,0,-6.373.541.667,0,0,0,-4.785.416.667,0,0,0,0,0,0,-2300,0,0,0,0,-7.411.166.667,-1400,0,0,0,0,-2015,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-700,-1640,-2.229.875,0,0,0,-5.042.270.833,0,0,0,-2800
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,-2.133.333.333,0,0,0,0,0,0,0,0,-223.609.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,-112.578.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4085,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4325,0,0,0,0
France,0,0,0,-1000,0,-600,0,0,-1500,0,0,0,0,0,0,0,0,0,-2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7400
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-598.75,0,0,0,0,-850,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.189.125,0,0,0,0,0,0,0,0,0,0,0,0,0,-1100,0,-2.080.208.333,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1833,-1250,0,-1200,-3.017.375,-650,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.037.213.958
Italy,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1200,0,-200,0,0,0,0,0,0,0,-1.189.791.667,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.090.625,0,0,0,0,0,-3.483.416.667,0,0,0,-700,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-550,0,0,0,0,0
The former Yugoslav Republic of Macedonia,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-540,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-700,0,0,0,0,0,0,0,0,-3000
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3995,0,0,0,-1400
