Load_res;LFW;Load;LFS
173555088.0;0.443748055;985268725.0;0.00
144578448;0.436491221;9420833;0.00
130109112;0.439491104;9003.54;0.00
119085624;0.451611752;8758284;0.00
118290312;0.445068871;87323095;0.00
121618224;0.447867317;91140485;0.00
145504296;0.419219903;9816299;0.00
183203832;0.36864517;1038108925;0.00
229474392;0.335650285;1103872875;2.79E-05
24814524;0.20569659;111985085;0.035495364
254653896;0.167570159;10976.08;0.117451182
2731596;0.073560235;1083338825;0.226092868
273700392;0.111573198;104769595;0.286628195
253516872;0.087196761;1038432575;0.261897263
242071368;0.080727826;1048675225;0.166024052
247739352;0.099550719;1091528175;0.078978116
265578768;0.094430647;1120339225;0.013105446
328310304;0.11536863;120261005;0.00
346233384;0.13478691;121120475;0.00
333476808;0.126034596;116442875;0.00
311524248;0.120101127;1114664975;0.00
28769916;0.118455207;1067212925;0.00
26448324;0.099089198;11015108;0.00
216543936;0.09673315;110016945;0.00
150832752;0.482221505;902147725;0.00
128960832;0.506396854;851451425;0.00
119087304;0.509346478;816893875;0.00
110858496;0.505688638;811244825;0.00
111720504;0.46400433;8274885;0.00
120940344;0.426957795;87793615;0.00
162149064;0.454729874;975891675;0.00
213709272;0.462244159;10668767;0.000690874
226404864;0.405083873;107924715;0.010925298
223681416;0.357576703;109545605;0.03105548
220871616;0.255179029;1090688375;0.057673616
235675944;0.187196908;108848995;0.090565501
225628368;0.162281698;1060935875;0.119015809
207104352;0.168263879;10588615;0.134237905
199759224;0.19412847;1067456925;0.107854293
204659952;0.217097998;1075624225;0.071548676
227788512;0.252102821;1080374375;0.035142307
2659062;0.359769006;109784615;0.005975725
328615224;0.433387386;1125076975;2.54E-05
32694228;0.552797505;108460545;0.00
3015138;0.599780879;1030108675;0.00
275190384;0.635664151;963735525;0.00
246884568;0.685767382;952347025;0.00
194823216;0.729897162;93877545;0.00
163306248;0.530552216;90560905;0.00
139326432;0.501765278;843453075;0.00
125266008;0.503856053;802852425;0.00
114530808;0.385064904;7780408;0.00
1114764;0.38088227;7723253;0.00
113128008;0.377456958;782265625;0.00
127479408;0.359127148;81248055;0.00
161595336;0.412809168;82761425;0.001600187
221862144;0.460395717;8585752;0.029618699
254669184;0.453438766;8999887;0.071322618
264441744;0.260810834;92857805;0.118176769
282842112;0.16920518;937619375;0.160657076
285026448;0.124199821;946766225;0.14669227
26790708;0.164340088;9226149;0.153491794
252214368;0.145296354;912918975;0.103927485
247441488;0.156817856;920116575;0.090109998
250515216;0.263566707;92967885;0.053244739
