,Node/Line,Capacity (MW)
2,AL-GR,400.0
86,AL-ME,350.0
302,AL-MK,500.0
374,AL-RS,500.0
458,AT-ATEV2W,751.71601354
527,AT-ATEV2W V2g,751.71601354
559,AT-ATH2R1 Expansion,3000.0
595,AT-ATRETE,100000.0
665,AT-ATSNR1,100000.0
698,AT-CH,1200.0
770,AT-CZ,900.0
914,AT-DE,5400.0
986,AT-DE Real 1,1500.0
1178,ATH2MT-SIH2MT (1) Expansion,292.96875
1250,ATH2MT-SKH2MT (1) Expansion,539.21874993
1310,ATH2R1-ATSNR1,100000.0
1343,AT-HU,800.0
1439,AT-IT,800.0
1511,AT-IT Real 1,500.0
1583,AT-IT Real 2,150.0
1655,ATRETE-ATEV2W,684.90068136
1727,ATRETE-ATEV2W V2g,684.90068136
1763,AT-SI,950.0
1871,BA-HR,750.0
1943,BA-ME,800.0
2087,BA-RS,530.0
2201,BA-RS Real 2,1180.0
2266,BE-BEEV2W,929.94857648
2335,BE-BEEV2W V2g,929.94857648
2368,BE-BEH2R1 Expansion,1000.0
2404,BE-BERETE,100000.0
2467,BE-BESNR1,100000.0
2500,BE-DE,1000.0
2572,BE-FR,2800.0
2704,BEH2MT-DEH2MT (1) Expansion,3015.625
2776,BEH2MT-FRH2MT (1) Expansion,765.625
2872,BEH2MT-NLH2MT (1) Expansion,846.8750001
2944,BEH2MT-UKH2MT (1) Expansion,1171.625
3037,BEH2R1-BESNR1,100000.0
3070,BE-LUB1,380.0
3088,BE-LUG1,300.0
3160,BE-NL,2400.0
3268,BERETE-BEEV2W,936.42324351
3340,BERETE-BEEV2W V2g,936.42324351
3376,BE-UK,1000.0
3448,BG-BGEV2W,569.06324095
3514,BG-BGEV2W V2g,569.06324095
3544,BG-BGH2R1 Expansion,1000.0
3580,BG-BGRETE,100000.0
3646,BG-BGSNR1,100000.0
3679,BG-GR,1700.0
3763,BGH2MT-GRH2MT (1) Expansion,229.8375
3888,BGH2R1-BGSNR1,100000.0
3921,BG-MK,500.0
3993,BGRETE-BGEV2W,460.44121739
4065,BGRETE-BGEV2W V2g,460.44121739
4101,BG-RO,1500.0
4173,BG-RS,320.0
4245,BG-RS Real 1,490.0
4317,BG-TR,900.0
4479,BG-TR Real 1,1100.0
4640,CH-DE,4200.0
4748,CH-FR,1300.0
4856,CHH2MT-DEH2MT (1) Expansion,362.1452844
4928,CHH2MT-FRH2MT (1) Expansion,1041.666667
5000,CHH2MT-ITH2MT (1) Expansion,1389.9375
5072,CH-IT,3750.0
5144,CY-GR3 Real 1,1000.0
5216,CZ-CZEV2W,705.37961619
5285,CZ-CZEV2W V2g,705.37961619
5318,CZ-CZH2R1 Expansion,3000.0
5354,CZ-CZRETE,100000.0
5408,CZ-CZSNR1,100000.0
5441,CZ-DE,2100.0
5537,CZH2MT-DEH2MT (1) Expansion,3881.313438
5627,CZH2MT-SKH2MT (1) Expansion,3116.7499992
5693,CZH2R1-CZSNR1,100000.0
5846,CZ-PLI,600.0
5882,CZRETE-CZEV2W,627.95852402
5954,CZRETE-CZEV2W V2g,627.95852402
5990,CZ-SK,1800.0
6122,DE-CH Real 2,600.0
6194,DE-DEEV2W,5764.61469673
6263,DE-DEEV2W V2g,5764.61469673
6296,DE-DEH2R1 Expansion,18000.0
6332,DE-DERETE,100000.0
6392,DE-DESNR1,100000.0
6425,DE-DEKF,400.0
6497,DE-DKE1,600.0
6593,DE-DKE1 Real 1,600.0
6665,DE-DKW1,3500.0
6737,DE-FR,3300.0
6821,DEH2MT-DKE1H2MT (1) Expansion,1288.541667
6941,DEH2MT-FRH2MT (1) Expansion,1485.41666659
7001,DEH2MT-NLH2MT (1) Expansion,2411.16666682
7097,DE-LUG1,1000.0
7169,DE-LUV1,1300.0
7241,DE-NL,5000.0
7337,DE-NOS,1400.0
7553,DE-PLI,2000.0
7589,DERETE-DEEV2W,6845.18249171
7661,DERETE-DEEV2W V2g,6845.18249171
7697,DE-SE4,615.0
7817,DE-SE4 Real 1,700.0
7889,DE-SE4 Real 2,700.0
7961,DEKF-DKKF,400.0
8033,DKE1-DKE1EV2W,355.75823542
8105,DKE1-DKE1EV2W V2g,355.75823542
8141,DKE1-DKE1H2R1 Expansion,1000.0
8159,DKE1-DKE1RETE,100000.0
8225,DKE1-DKE1SNR1,100000.0
8258,DKE1-DKKF,400.0
8330,DKE1-DKW1,600.0
8414,DKE1H2MT-DKW1H2MT,100000.0
8486,DKE1H2MT-PLH2MT (1) Expansion,1629.87499983
8594,DKE1H2MT-SE4H2MT (1) Expansion,914.5833333
8666,DKE1H2MT-SE4H2MT (2) Expansion,2112.6875
8738,DKE1H2R1-DKE1SNR1,100000.0
8771,DKE1-PL Real 1,600.0
8843,DKE1RETE-DKE1EV2W,198.31364814
8915,DKE1RETE-DKE1EV2W V2g,198.31364814
8951,DKE1-SE4,1700.0
9118,DKW1-DKW1EV2W,459.5004285
9187,DKW1-DKW1EV2W V2g,459.5004285
9221,DKW1-DKW1H2R1 Expansion,1000.0
9245,DKW1-DKW1RETE,100000.0
9311,DKW1-DKW1SNR1,100000.0
9356,DKW1H2R1-DKW1SNR1,100000.0
9389,DKW1-NL,700.0
9461,DKW1-NOS,1640.0
9533,DKW1RETE-DKW1EV2W,325.80099353
9605,DKW1RETE-DKW1EV2W V2g,325.80099353
9641,DKW1-SE3,715.0
9761,DKW1-UK,1400.0
9833,DKW1-UK Real 1,1400.0
9869,EE-EEEV2W,279.48968465
9941,EE-EEEV2W V2g,279.48968465
9977,EE-EEH2R1 Expansion,1000.0
9995,EE-EERETE,100000.0
10062,EE-EESNR1,100000.0
10095,EE-FI,1016.0
10167,EEH2MT-FIH2MT (1) Expansion,833.3333333
10239,EEH2MT-FIH2MT (2) Expansion,300.0
10311,EEH2MT-LVH2MT (1) Expansion,1336.09375017
