Load_res;LFW;Load;LFS
173555088,00;0.443748055;985268725,00;0,00
144578448,00;0.436491221;9420833,00;0,00
130109112,00;0.439491104;9003.54;0,00
119085624,00;0.451611752;8758284,00;0,00
118290312,00;0.445068871;87323095,00;0,00
121618224,00;0.447867317;91140485,00;0,00
145504296,00;0.419219903;9816299,00;0,00
183203832,00;0.36864517;1038108925,00;0,00
229474392,00;0.335650285;1103872875,00;2.79E-05
24814524,00;0.20569659;111985085,00;0.035495364
254653896,00;0.167570159;10976.08;0.117451182
2731596,00;0.073560235;1083338825,00;0.226092868
273700392,00;0.111573198;104769595,00;0.286628195
253516872,00;0.087196761;1038432575,00;0.261897263
242071368,00;0.080727826;1048675225,00;0.166024052
247739352,00;0.099550719;1091528175,00;0.078978116
265578768,00;0.094430647;1120339225,00;0.013105446
328310304,00;0.11536863;120261005,00;0,00
346233384,00;0.13478691;121120475,00;0,00
333476808,00;0.126034596;116442875,00;0,00
311524248,00;0.120101127;1114664975,00;0,00
28769916,00;0.118455207;1067212925,00;0,00
26448324,00;0.099089198;11015108,00;0,00
216543936,00;0.09673315;110016945,00;0,00
150832752,00;0.482221505;902147725,00;0,00
128960832,00;0.506396854;851451425,00;0,00
119087304,00;0.509346478;816893875,00;0,00
110858496,00;0.505688638;811244825,00;0,00
111720504,00;0.46400433;8274885,00;0,00
120940344,00;0.426957795;87793615,00;0,00
162149064,00;0.454729874;975891675,00;0,00
213709272,00;0.462244159;10668767,00;0.000690874
226404864,00;0.405083873;107924715,00;0.010925298
223681416,00;0.357576703;109545605,00;0.03105548
220871616,00;0.255179029;1090688375,00;0.057673616
235675944,00;0.187196908;108848995,00;0.090565501
225628368,00;0.162281698;1060935875,00;0.119015809
207104352,00;0.168263879;10588615,00;0.134237905
199759224,00;0.19412847;1067456925,00;0.107854293
204659952,00;0.217097998;1075624225,00;0.071548676
227788512,00;0.252102821;1080374375,00;0.035142307
2659062,00;0.359769006;109784615,00;0.005975725
328615224,00;0.433387386;1125076975,00;2.54E-05
32694228,00;0.552797505;108460545,00;0,00
3015138,00;0.599780879;1030108675,00;0,00
275190384,00;0.635664151;963735525,00;0,00
246884568,00;0.685767382;952347025,00;0,00
194823216,00;0.729897162;93877545,00;0,00
163306248,00;0.530552216;90560905,00;0,00
139326432,00;0.501765278;843453075,00;0,00
125266008,00;0.503856053;802852425,00;0,00
114530808,00;0.385064904;7780408,00;0,00
1114764,00;0.38088227;7723253,00;0,00
113128008,00;0.377456958;782265625,00;0,00
127479408,00;0.359127148;81248055,00;0,00
161595336,00;0.412809168;82761425,00;0.001600187
221862144,00;0.460395717;8585752,00;0.029618699
254669184,00;0.453438766;8999887,00;0.071322618
264441744,00;0.260810834;92857805,00;0.118176769
282842112,00;0.16920518;937619375,00;0.160657076
285026448,00;0.124199821;946766225,00;0.14669227
26790708,00;0.164340088;9226149,00;0.153491794
252214368,00;0.145296354;912918975,00;0.103927485
247441488,00;0.156817856;920116575,00;0.090109998
250515216,00;0.263566707;92967885,00;0.053244739
268272816,00;0.17583121;9586921,00;0.016177975
308613984,00;0.135417526;1008852075,00;0.00074506
315893424,00;0.178565384;1009696575,00;0,00
292699512,00;0.217746521;9575207,00;0,00
262875648,00;0.218924819;91288995,00;0,00
233451624,00;0.371722789;908435875,00;0,00
196210056,00;0.491581567;900890175,00;0,00
130473168,00;0.082659571;7701226,00;0,00
119183064,00;0.098771622;74045875,00;0,00
110696544,00;0.095593529;7206.63;0,00
104127072,00;0.06015388;711019925,00;0,00
105515088,00;0.03963827;70456595,00;0.000221825
11274312,00;0.03743701;6835846,00;0.026880601
132542592,00;0.025118906;669781975,00;0.082836344
169834896,00;0.022697104;6839198,00;0.146342599
196115136,00;0.030251709;704223375,00;0.265468474
2160.48;0.029816867;6697308,00;0.401497064
239895096,00;0.033477657;663375475,00;0.566390825
239696184,00;0.02253794;640434325,00;0.644441848
21896616,00;0.021695302;62787465,00;0.646953041
201097344,00;0.022043801;6135027,00;0.57641443
188505408,00;0.021178277;625234575,00;0.491146479
18498732,00;0.034844601;638974075,00;0.429847466
202457136,00;0.032657906;654094825,00;0.33040643
221646432,00;0.039253361;700226425,00;0.216427401
228905712,00;0.054667377;771333725,00;0.104675932
227243856,00;0.087612404;7990721,00;0.035847574
2235.45;0.103934595;823402325,00;0.004446657
20495832,00;0.156975994;82688545,00;0,00
166394592,00;0.203157704;8369094,00;0,00
13742484,00;0.268764798;79305395,00;0,00
122835384,00;0.238247947;822933725,00;0,00
113961288,00;0.180579557;78905895,00;0,00
10806768,00;0.17645936;760857425,00;0,00
104163864,00;0.217233403;7510714,00;0,00
112083552,00;0.211392267;7571304,00;0.001798305
133192584,00;0.203475127;765821275,00;0.037498561
162076152,00;0.191458314;838831325,00;0.120262092
170553264,00;0.192473227;894925825,00;0.258055121
16881816,00;0.172935387;9190667,00;0.408981536
170059176,00;0.199983991;91600605,00;0.508885694
18526956,00;0.203141611;9026629,00;0.576606622
1803774,00;0.219944626;8989966,00;0.611995306
169391376,00;0.211378927;8598221,00;0.585146032
15913212,00;0.325629985;86657395,00;0.546802505
156522912,00;0.41272366;87060655,00;0.566798915
168839664,00;0.507070525;852718825,00;0.545433456
199065552,00;0.560140507;8308091,00;0.464775567
219563736,00;0.568166425;85737305,00;0.332697492
222210912,00;0.564774831;878635375,00;0.174547376
215797512,00;0.567998128;8905547,00;0.060504847
211440264,00;0.592122061;891565725,00;0.009612128
206627904,00;0.551953476;870572725,00;0,00
172192776,00;0.503235612;880896875,00;0,00
142283904,00;0.487688667;850158025,00;0,00
122819592,00;0.233093339;857572175,00;0,00
114098208,00;0.278536596;823443575,00;0,00
10823652,00;0.245609912;7915494,00;0,00
104185536,00;0.214435979;76934145,00;0,00
111970152,00;0.320670356;781057175,00;0.00158918
132567792,00;0.334454287;7923495,00;0.031538923
16121616,00;0.311783456;854985925,00;0.111309512
169708896,00;0.239826244;94252725,00;0.238554007
16810248,00;0.260833604;964247975,00;0.386428213
169696296,00;0.298345353;963514575,00;0.51265333
18495456,00;0.34165206;946123025,00;0.589422511
180105744,00;0.371471408;93510355,00;0.644344482
16927176,00;0.479768448;90285975,00;0.662173443
159034176,00;0.549833345;888419525,00;0.611052127
15634164,00;0.612067302;88508355,00;0.51636678
16848804,00;0.612046778;8937473,00;0.377726245
198619008,00;0.58745182;90670935,00;0.302058568
219036888,00;0.593610052;922907775,00;0.245044501
221880456,00;0.544911685;921788075,00;0.13925267
215400528,00;0.427795474;912964975,00;0.057813315
210737352,00;0.31554243;9098.23;0.013428024
206398752,00;0.212884364;9059098,00;0,00
171845856,00;0.178900692;933821025,00;0,00
142084824,00;0.194939187;909634125,00;0,00
126459648,00;0.48214975;747063725,00;0,00
118809936,00;0.466178654;7130003,00;0,00
112469952,00;0.456489204;6906505,00;0,00
106901088,00;0.450420188;681102675,00;0,00
110899992,00;0.452991772;6833353,00;0,00
122770872,00;0.473143005;70807135,00;0.004285792
141460536,00;0.433341127;74601325,00;0.042025651
160805064,00;0.430288025;7842469,00;0.111780254
167166384,00;0.498818807;816292275,00;0.211787705
171131688,00;0.519529742;807890575,00;0.280008162
185686704,00;0.536902481;806128475,00;0.366165106
183207528,00;0.525764668;797793775,00;0.379707428
175255752,00;0.525463362;77332835,00;0.421141264
16662828,00;0.530906884;752057675,00;0.447942278
165567696,00;0.566261646;729514525,00;0.427842576
172776408,00;0.543883042;723375975,00;0.356907728
191271024,00;0.502956035;73452275,00;0.280769309
203844144,00;0.481816979;7649523,00;0.215640854
20317584,00;0.396149927;7721891,00;0.117838952
196648704,00;0.353726882;780876475,00;0.030888688
202802712,00;0.360246903;796592975,00;0.00123443
198214968,00;0.337324804;80300395,00;0,00
175264992,00;0.287175563;8285.16;0,00
151102224,00;0.210274974;794140075,00;0,00
128769816,00;0.143699817;814399075,00;0,00
117841752,00;0.117888619;76277855,00;0,00
109520544,00;0.093201595;73656775,00;0,00
103746216,00;0.073465135;7198252,00;0,00
106080912,00;0.054389448;70817035,00;0,00
116166288,00;0.060351673;719656975,00;0,00
146466264,00;0.074810521;7451064,00;0.010225957
18608856,00;0.079398755;748826225,00;0.103175651
204473808,00;0.066665739;765484875,00;0.238340649
212465904,00;0.06484265;787586425,00;0.365088154
225289176,00;0.071513324;76841995,00;0.406025
22565256,00;0.082463298;760614875,00;0.417894323
213625272,00;0.09134132;7639589,00;0.360907348
200334288,00;0.085072069;75738555,00;0.324576331
193535496,00;0.075704902;74547835,00;0.288898936
194626152,00;0.070829666;74913785,00;0.224552794
211692768,00;0.05851905;765051775,00;0.154356234
229304544,00;0.049880355;8003.05;0.070465798
228806424,00;0.042136042;832841825,00;0.011540819
246705648,00;0.052001889;8589.93;0,00
226629816,00;0.064764463;884978725,00;0,00
201769848,00;0.058439909;8432282,00;0,00
17539536,00;0.056506215;8266228,00;0,00
149630376,00;0.051765421;802117625,00;0,00
122034864,00;0.096316675;8280664,00;0,00
11319336,00;0.088615269;784941625,00;0,00
106268736,00;0.10142075;75116515,00;0,00
103671792,00;0.11205607;744264925,00;0,00
11092368,00;0.126029587;749237025,00;0,00
137648616,00;0.137722337;787729925,00;0,00
177441432,00;0.133534572;892450675,00;0.000496989
188400744,00;0.173053262;98688155,00;0.04254042
187848528,00;0.157336749;9884618,00;0.158681819
186077976,00;0.186982918;979270775,00;0.266837523
197861832,00;0.245188266;9595203,00;0.361830207
191726304,00;0.247515756;9271332,00;0.436592804
17928036,00;0.289288515;86828585,00;0.459349325
170196096,00;0.254291315;848923225,00;0.407808066
16986648,00;0.265779062;84331705,00;0.284204208
182760312,00;0.366478014;859435875,00;0.146321433
206954496,00;0.323650686;907254925,00;0.069185649
22618848,00;0.266717304;947668025,00;0.02373526
249546192,00;0.268326809;961721925,00;0.000548636
248154144,00;0.252882044;98259855,00;0,00
23111256,00;0.219458116;9757735,00;0,00
211650432,00;0.163505883;920148575,00;0,00
179085144,00;0.133602271;917288475,00;0,00
1495.2;0.129932256;8807248,00;0,00
121617048,00;0.56961796;793792675,00;0,00
112788648,00;0.603828524;744736225,00;0,00
105758856,00;0.621284217;716591175,00;0,00
103465824,00;0.68585226;705448925,00;0,00
1112958,00;0.693108382;717899875,00;0,00
140245056,00;0.687558068;757318325,00;0,00
181304928,00;0.694227789;85498315,00;0,00
189211176,00;0.705131041;936043825,00;0.004007241
185519208,00;0.700760205;9558454,00;0.024529426
183961848,00;0.687694418;971582275,00;0.048969953
197744904,00;0.664072452;97450745,00;0.098562202
19029948,00;0.641748197;971785175,00;0.239487873
175985544,00;0.588559203;912675975,00;0.367455415
165827088,00;0.506151208;8748453,00;0.41548727
165989208,00;0.457054629;846767025,00;0.394820305
182009016,00;0.431160476;840797325,00;0.277036386
212686152,00;0.392825078;86407095,00;0.142504691
235509624,00;0.357351129;927941275,00;0.031086806
270704112,00;0.339275662;97606735,00;0.000241298
25952976,00;0.301589596;1020497475,00;0,00
2404.92;0.306955884;10041024,00;0,00
216635832,00;0.3630807;9478911,00;0,00
175920864,00;0.410074815;92525835,00;0,00
141731184,00;0.418011735;88270265,00;0,00
14577948,00;0.137388612;922328825,00;0,00
12541536,00;0.111369552;870412825,00;0,00
1163316,00;0.09276108;84069145,00;0,00
108055752,00;0.069270696;831647025,00;0,00
1081962,00;0.05196947;8457883,00;0,00
116553024,00;0.04917572;893033025,00;0,00
15346296,00;0.0414295;100548255,00;0,00
204553776,00;0.030402292;1097811775,00;0,00
218465184,00;0.027614263;11035094,00;0.01919039
216547464,00;0.024433393;10868742,00;0.107708668
21257712,00;0.01998151;104193605,00;0.230915442
224745192,00;0.012360198;10172.93;0.306145395
217541688,00;0.01880966;9896366,00;0.319893457
202101312,00;0.025943734;1019462775,00;0.2263765
195544608,00;0.027947988;1024922775,00;0.1560123
19975032,00;0.031471164;1048167175,00;0.073619606
221288088,00;0.03505155;10786665,00;0.011716078
292313784,00;0.050472478;1149784375,00;0,00
311215464,00;0.045926198;1153262375,00;0,00
300056232,00;0.047851311;110436795,00;0,00
276660384,00;0.067002324;104205265,00;0,00
254178792,00;0.068496455;9899262,00;0,00
231316176,00;0.090277216;100185445,00;0,00
189831768,00;0.115988297;99498905,00;0,00
164899896,00;0.411618529;771056675,00;0,00
142880472,00;0.43553608;7125.91;0,00
13043688,00;0.561282478;6781034,00;0,00
117382608,00;0.688965432;649548625,00;0,00
113278872,00;0.763875116;6413952,00;0,00
111308736,00;0.769957482;6507818,00;0,00
120596616,00;0.762251308;66220755,00;0,00
15073464,00;0.773988873;6626.32;0,00
23047836,00;0.771744337;6999.44;1.61E-05
282430176,00;0.771620383;744813675,00;0.009229438
303081744,00;0.769816364;77995085,00;0.037043904
329131152,00;0.765395946;797131825,00;0.054688294
331691136,00;0.770902399;80956925,00;0.069430334
317255904,00;0.767727249;8080.23;0.060247462
314297088,00;0.757742215;81329175,00;0.030853975
308525952,00;0.724949503;83065225,00;0.009502909
322908096,00;0.678281484;850826425,00;0.000668015
378823032,00;0.65517822;889051675,00;0,00
38278296,00;0.625765659;872084475,00;0,00
343458864,00;0.691132733;82822625,00;0,00
321751248,00;0.683536212;7989453,00;0,00
296595096,00;0.69963317;768372975,00;0,00
256723152,00;0.694365092;781609475,00;0,00
21494424,00;0.731762248;789659125,00;0,00
